"CONTEXT (DO NOT MODIFY)","ENGLISH (DO NOT MODIFY)","LOCALIZED (EDIT THIS COLUMN)"
"end:help-ezic-kill-attackers-wall-safe","This represents treason of the highest order.","Hau goi mailako traiziotzat jotzen da."
"end:help-ezic-kill-attackers-wall-safe","Goodbye inspector.","Agur, ikuskatzaile."
"end:help-ezic-kill-attackers-wall-safe","The execution is scheduled for tonight.","Exekuzioa gaur gauerako programatu da."
"end:help-ezic-kill-attackers-wall-safe","Your family's safety is unknown.","Zure familiaren egoera ezezaguna da."
"end:help-ezic-kill-attackers-wall-safe","EZIC has been crushed. The balance of justice is restored.","EZIC suntsitua izan da. Justiziaren oreka berrezarri da."
"end:help-ezic-kill-attackers-wall-safe","Glory to Arstotzka.","Aintza Arstotzkari."
"end:help-ezic-kill-attackers-wall-safe","[A note appears from under the cell door]","[Ohar bat agertu da ziegako atepean]"
"end:help-ezic-kill-attackers-wall-safe","INSPECTOR - YOU HAVE BETRAYED US AT THE LAST MOMENT","IKUSKATZAILE - AZKEN UNEAN SALDU GAITUZU"
"end:help-ezic-kill-attackers-wall-safe","THIS CHAPTER OF EZIC IS OVER - WE CAN OFFER NO HELP TO YOUR FAMILY","EZIC-EN KAPITULU HAU AMAITU DA - EZIN DIEZAIOKEGU LAGUNTZARIK ESKAINI ZURE FAMILIARI"
"end:help-ezic-kill-attackers-wall-destroyed","The border has been pierced.","Muga zulatua izan da."
"end:help-ezic-kill-attackers-wall-destroyed","It is a glorious day for THE ORDER OF THE EZIC STAR but you have betrayed us at the last moment.","Egun loriatsua da EZIC IZARRAREN ORDENArentzat, baina azken unean saldu gaituzu."
"end:help-ezic-kill-attackers-wall-destroyed","EZIC grows strong while the corrupt and greedy weaken.","EZIC indartsu haziz doa ustelak eta gutiziatsuak ahuldu ahala."
"end:help-ezic-kill-attackers-wall-destroyed","Your betrayal means you have chosen the wrong side.","Zure traizioak erakusten du okerreko aldea hautatu duzula."
"end:help-ezic-kill-attackers-wall-destroyed","There is no place for you or your family in this revolution.","Ez dago lekurik zu eta zure familiarentzat iraultza honetan."
"end:help-ezic-kill-attackers-wall-destroyed","Goodbye inspector.","Agur, ikuskatzaile."
"end:help-ezic-kill-attackers-wall-destroyed","Glory to the New Arstotzka.","Aintza Arstotzka berriari."
"end:help-few-ezic","Hello inspector.","Kaixo, ikuskatzaile."
"end:help-few-ezic","We have audited your recent activities.","Zure azken jarduerak auditatu ditugu."
"end:help-few-ezic","Your involvement with a group calling themselves THE ORDER OF THE EZIC STAR has been uncovered.","Bere burua EZIC IZARRAREN ORDENA gisa izendatzen duen taldearekin duzun parte-hartzea argitara atera da."
"end:help-few-ezic","Several members of this group have been arrested in Arstotzka.","Talde honetako hainbat kide atxilotu dituzte Arstotzkan."
"end:help-few-ezic","At least one EZIC member has confessed to receiving your help.","Gutxienez EZICeko kide batek aitortu du zure laguntza jaso izana."
"end:help-few-ezic","This represents treason of the highest order.","Hau goi mailako traiziotzat jotzen da."
"end:help-few-ezic","Goodbye inspector.","Agur, ikuskatzaile."
"end:help-few-ezic","The execution is scheduled for tonight.","Exekuzioa gaur gauerako programatu da."
"end:help-few-ezic","Your family's safety is unknown.","Zure familiaren egoera ezezaguna da."
"end:help-few-ezic","EZIC has been crushed. The balance of justice is restored.","EZIC suntsitua izan da. Justiziaren oreka berrezarri da."
"end:help-few-ezic","Glory to Arstotzka.","Aintza Arstotzkari."
"end:escape","You board the late train to the Northern Territories. It is nearly empty.","Iparreko Lurraldeetara doan azken trenera igo zara. Ia hutsik dago."
"end:escape","You pay for the hastily forged passport and re-entry ticket. They look terrible.","Presaka faltsututako pasaportea eta birsartze tiketa ordaindu dituzu. Oso itxura txarra dute."
"end:escape","You pay for the hastily forged passports and re-entry tickets. They look terrible.","Presaka faltsututako pasaporteak eta birsartze tiketak ordaindu dituzu. Oso itxura txarra dute."
"end:escape","You reach the border crossing at dawn. The line is immense.","Mugako kontrolgunera iritsi zara egunsentian. Izugarrizko ilara dago."
"end:escape","Six hours later.","Sei ordu geroago."
"end:escape","Your documents.","Zure dokumentuak."
"end:escape","Here.","Tori."
"end:escape","You are entering alone?","Bakarrik zatoz?"
"end:escape","Yes.","Bai."
"end:escape","I come to visit relatives.","Senideak bisitatzera nator."
"end:escape","No, my family as well.","Ez, nire familia nirekin dator."
"end:escape","Hand over all documents now.","Ekarri orain dokumentu guztiak."
"end:escape","We come to visit relatives.","Senideak bisitatzera gatoz."
"end:escape","I do not care why you come. Wait here.","Ez zait axola zertara zatozen. Itxaron hemen."
"end:escape","*KACHUNK*","*KATXUNK*"
"end:escape","Welcome to Obristan. Next!","Ongi etorri Obristanera. Hurrengoa!"
"end:help-ezic-hold-fire","Inspector! It is a glorious day!","Ikuskatzaile! Egun loriatsua da gaurkoa!"
"end:help-ezic-hold-fire","The border has been pierced.","Muga zulatua izan da."
"end:help-ezic-hold-fire","EZIC grows strong while the corrupt and greedy weaken.","EZIC indartsu haziz doa ustelak eta gutiziatsuak ahuldu ahala."
"end:help-ezic-hold-fire","We are moving you and your family to a better home.","Zu eta zure familia etxe hobe batera eramango zaituztegu."
"end:help-ezic-hold-fire","Your services as an inspector are no longer required. We need agents.","Ikuskatzaile gisa eskaintzen dituzun zerbitzuak ez dira jadanik beharrezkoak. Agenteak behar ditugu."
"end:help-ezic-hold-fire","Follow us and together we will complete the revolution!","Jarrai gaitzazu eta elkarrekin iraultza burutuko dugu!"
"end:help-ezic-hold-fire","Glory to the New Arstotzka.","Aintza Arstotzka berriari."
"end:ignore-ezic","Hello inspector.","Kaixo, ikuskatzaile."
"end:ignore-ezic","We have audited your activities for the past 20 years.","Azken 20 urteotako zure jarduerak auditatu ditugu."
"end:ignore-ezic","There are some anomalies.","Irregulartasun batzuk daude."
"end:ignore-ezic","But you have served Arstotzka well.","Baina Arstotzkari zerbitzu ona eskaini diozu."
"end:ignore-ezic","We will overlook these small transgressions.","Urraketa txiki hauek barkatuko dizkizugu."
"end:ignore-ezic","You have been cleared of any suspicion.","Susmo guztietatik kanpo gelditu zara."
"end:ignore-ezic","Glory to Arstotzka.","Aintza Arstotzkari."
"end:ignore-ezic","A new agreement has been reached with Kolechia.","Adostasun berri batera iritsi gara Kolechiarekin."
"end:ignore-ezic","Grestin Border Checkpoint will reopen soon.","Grestingo mugako kontrolgunea laster berrirekiko da."
"end:ignore-ezic","Return to your post on January 1st.","Itzuli zure postura urtarrilaren 1ean."
"end:ignore-ezic","ENDLESS UNLOCK CODE: 62131","MODU AMAIGABEA DESBLOKEATZEKO KODEA: 62131"
"endless:timed","Timed","Denbora muga"
"endless:timed","Process as many travelers as possible in 10 minutes.","Prozesatu ahal bezain beste bidaiari 10 minutuan."
"endless:timed","ENDLESS - TIMED

Process as many travelers as possible in 10 minutes. One point per traveler. Lose 30 seconds for each citation.","AMAIGABEA - DENBORA MUGA

Prozesatu ahal bezain beste bidaiari 10 minutuan. Puntu bat bidaiariko. Zitazio bakoitzagatik 30 segundo galduko dituzu."
"endless:perfection","Perfection","Perfekzioa"
"endless:perfection","Game over at first penalty. Earn dwindling points.","Jokoa amaituko da aurreneko zigorrarekin. Irabaziak gutxitzen doaz."
"endless:perfection","ENDLESS - PERFECTION

Earn points for processing travelers. No citations allowed. Ten points per traveler in the first minute, one less point for each minute that passes. Work quickly.","AMAIGABEA - PERFEKZIOA

Irabazi puntuak bidaiariak prozesatzeagatik. Ez da zitaziorik onartzen. Hamar puntu bidaiariko lehen minutuan, puntu bat gutxiago pasatzen den minutuko. Bizkor ibili."
"endless:endurance","Endurance","Erresistentzia"
"endless:endurance","Play until balance goes negative. Avoid penalties.","Jolastu balantzea negatibora iritsi arte.
Ekidin zigorrak."
"endless:endurance","ENDLESS - ENDURANCE

Process travelers until your balance drops below zero. Citations penalize an escalating number of points. The highest achieved points are remembered for scoring.","AMAIGABEA - ERRESISTENTZIA

Prozesatu bidaiariak zure balantzea zerotik jaitsi arte. Zitazioek kentzen duten puntu kopurua areagotzen doa. Lortutako puntuazio altuenak gogoratuko dira."
"endless:course1","Course 1","1. zirkuitua"
"endless:course2","Course 2","2. zirkuitua"
"endless:course3","Course 3","3. zirkuitua"
"endless:course4","Course 4","4. zirkuitua"
"bullend:1A","Check rulebook for rules in effect.","Aztertu indarrean dauden arauak arau-liburuan."
"bullend:2A","Check rulebook for rules in effect.","Aztertu indarrean dauden arauak arau-liburuan."
"bullend:3A","Check rulebook for rules in effect. REASON FOR DENIAL stamp is required when denying entry.","Aztertu indarrean dauden arauak arau-liburuan. UKATZEKO KAUSA zigilua beharrezkoa da sarrera ukatzean."
"bullend:4A","Check rulebook for rules in effect. REASON FOR DENIAL stamp is required when denying entry.","Aztertu indarrean dauden arauak arau-liburuan. UKATZEKO KAUSA zigilua beharrezkoa da sarrera ukatzean."
"night:MANAGE_EXPENSES","Manage your expenses using the checkboxes below.","Kudeatu zure gastuak azpiko kontrol-laukiak erabiliz."
"night:AFTER_6PM","Applicants entering after 6PM are unpaid.","18:00ak baino geroago sartutako eskatzaileak ez dira ordaintzen."
"night:PROGRESS_SAVED","Progress is saved at the start of each day.","Aurrerapena egun bakoitzaren hasieran gordetzen da."
"night:ATTACK_DIDNOTHING","The day was cut short by a terrorist attack.","Laneguna eten da eraso terrorista baten ondorioz."
"night:ATTACK_FIREDGUN","The day was cut short by a terrorist attack.","Laneguna eten da eraso terrorista baten ondorioz."
"night:ATTACK_FIREDGUN","TRIGGER BONUS","TIRATZAILE BONUSA"
"night:ATTACK_SOLVED","The day was cut short by a terrorist attack.","Laneguna eten da eraso terrorista baten ondorioz."
"night:ATTACK_SOLVED","SHARPSHOOTER BONUS","FRANKOTIRATZAILE BONUSA"
"night:POISONING","The day was cut short by a security incident.","Laneguna eten da segurtasun gertakari bategatik."
"night:FAMILY_PICTURE","Your wife found an old family picture.","Zure emazteak familiako argazki zahar bat aurkitu du."
"night:BUY_UPGRADE0","Booth Upgrade Available: SPACE key to toggle INSPECT mode.","Kabinaren eguneratzea: ZURIUNE teklarekin IKUSKATZE modua akt./des."
"night:BUY_UPGRADE0","UPGRADE BOOTH","EGUNERATU KABINA"
"night:BUY_UPGRADE0","Booth Upgrade Available: Multitouch.","Kabinaren eguneratzea eskuragarri: Ukipen anitza."
"night:BUY_UPGRADE1","Booth Upgrade Available: TAB key to toggle stamp bar.","Kabinaren eguneratzea eskuragarri: TAB tekla zigilu-barra erakusteko."
"night:BUY_UPGRADE1","UPGRADE BOOTH","EGUNERATU KABINA"
"night:BUY_UPGRADE2","Booth Upgrade Available: Rulebook shortcuts.","Kabinaren eguneratzea eskuragarri: laster-markak arauen liburuan."
"night:BUY_UPGRADE2","UPGRADE BOOTH","EGUNERATU KABINA"
"night:BUY_UPGRADE3","Booth Upgrade Available: Double-click for quick INSPECT.","Kabinaren eguneratzea eskuragarri: klik bikoitza IKUSKATZE bizkorrerako."
"night:BUY_UPGRADE3","UPGRADE BOOTH","EGUNERATU KABINA"
"night:APARTMENT_RENT","The rent has gone up.","Errenta igo da."
"night:APARTMENT_UPGRADE","A cheaper class 8 apartment is available (Rent = 25, Heat = 10)","8. klaseko etxe merkeagoa eskuragarri dago (Errenta = 25, Berog. = 10)"
"night:APARTMENT_UPGRADE","MOVE TO CLASS-8","MUGITU 8. KLASERA"
"night:APARTMENT_UPGRADE","A class-7 apartment is available. (Rent = 30, Heat = 10)","7. klaseko apartamentu bat eskuragarri dago (Errenta = 30, Berog. = 10)"
"night:APARTMENT_UPGRADE","MOVE TO CLASS-7","MUGITU 7. KLASERA"
"night:APARTMENT_UPGRADE","A class-6 apartment is available. (Rent = 40, Heat = 5)","6. klaseko apartamentu bat eskuragarri dago (Errenta = 40, Berog. = 5)"
"night:APARTMENT_UPGRADE","MOVE TO CLASS-6","MUGITU 6. KLASERA"
"night:APARTMENT_UPGRADE","A class-5 apartment is available. (Rent = 50, Heat = 0)","5. klaseko apartamentu bat eskuragarri dago (Errenta = 50, Berog. = 0)"
"night:APARTMENT_UPGRADE","Class-5 is the best a worker can have.","5. klasea da langile batek izan dezakeen onena."
"night:APARTMENT_UPGRADE","MOVE TO CLASS-5","MUGITU 5. KLASERA"
"night:SON_BIRTHDAY","Your son's birthday is in 2 days.","Zure semearen urtebetetzea da 2 egun barru."
"night:SON_BIRTHDAY2","Your son's birthday is tomorrow. He wants an expensive crayon set.","Zure semearen urtebetetzea da bihar. Margo sorta garestia nahi du."
"night:SON_BIRTHDAY2","SON'S GIFT","SEMEAREN OPARIA"
"night:SON_BIRTHDAY3","Your son has drawn a picture for you to take to work.","Zure semeak marrazki bat egin du lanera eraman dezazun."
"night:NIECE","Your sister has been arrested. Her young daughter needs a home.","Zure arreba atxilotu dute. Bere alaba gazteak etxe bat behar du."
"night:NIECE","ADOPT NIECE","ADOPTATU ILOBA"
"night:NIECE2_YES","Your niece has brought her mother's savings.","Ilobak bere amaren aurrezkiak ekarri ditu."
"night:NIECE2_YES","SISTER'S SAVINGS","ARREBAK AURREZTUA"
"night:NIECE2_NO","Your niece has disappeared.","Zure iloba desagertu da."
"night:FRIENDLY_GUARD_PAYOUT","A young woman dropped off something.","Emakume gazte batek zerbait utzi du."
"night:FRIENDLY_GUARD_PAYOUT","ELISA'S GIFT","ELISAREN OPARIA"
"night:DETAIN_PAYOUT","DETAIN BONUS","ATXILOKETEN BONUSA"
"night:EZIC_PAYOUT","A strange man brought money. Uncheck to burn it.","Gizon arrotz batek dirua ekarri du. Desmarkatu erretzeko."
"night:EZIC_PAYOUT","EZIC GIFT","EZIC-EN OPARIA"
"night:EZIC_PAYOUT_RETRY","A strange man brought money again. Uncheck to burn it.","Gizon arrotz batek dirua ekarri du berriro. Desmarkatu erretzeko."
"night:EZIC_PAYOUT_RETRY","EZIC GIFT","EZIC-EN OPARIA"
"night:EZIC_TAKESAVINGS","The neighbors have reported your new wealth.","Bizilagunek zure ondasun berriak salatu dituzte."
"night:EZIC_TAKESAVINGS","The Ministry of Income has confiscated your savings pending investigation.","Irabazien Ministerioak zure irabaziak konfiskatu ditu ikerketa bitartean."
"night:EZIC_CLEARED","The Ministry of Income has cleared all wrongdoing.","Irabazien Ministerioak eginiko okerrak barkatu dizkizu."
"night:EZIC_CLEARED","Your savings will not be returned.","Zure aurrezkiak ez zaizkizu itzuliko."
"night:EZIC_REWARD","A small package arrived.","Pakete txiki bat iritsi da."
"night:EZIC_REWARD","EZIC GIFT","EZIC-EN OPARIA"
"night:TAKE_FAMILY_PASSPORTS","The Ministry of Information has confiscated your family's passports.","Informazio Ministerioak zure familiaren pasaporteak konfiskatu ditu."
"night:ESCAPE","You can now escape to Obristan by yourself.","Obristanera ihes egin dezakezu orain, bakarrik."
"night:ESCAPE","You can now escape to Obristan with one family member.","Obristanera ihes egin dezakezu orain, senide bakarrarekin."
"night:ESCAPE","You can now escape to Obristan with two family members.","Obristanera ihes egin dezakezu orain, bi seniderekin."
"night:ESCAPE","You can now escape to Obristan with three family members.","Obristanera ihes egin dezakezu orain, hiru seniderekin."
"night:ESCAPE","You can now escape to Obristan with four family members.","Obristanera ihes egin dezakezu orain, lau seniderekin."
"night:ESCAPE","You can now escape to Obristan with everyone.","Obristanera ihes egin dezakezu orain, senide guztiekin."
"night:ESCAPE_1","ESCAPE (SELF)","IHES EGIN (ZU)"
"night:ESCAPE_2","ESCAPE (SELF+1)","IHES EGIN (ZU+1)"
"night:ESCAPE_3","ESCAPE (SELF+2)","IHES EGIN (ZU+2)"
"night:ESCAPE_4","ESCAPE (SELF+3)","IHES EGIN (ZU+3)"
"night:ESCAPE_5","ESCAPE (SELF+4)","IHES EGIN (ZU+4)"
"night:ESCAPE_6","ESCAPE (SELF+5)","IHES EGIN (ZU+5)"
"night:HANGINGS_PENALTY","A fine has been assessed for unofficial wall hangings.","Isun bat ezarri zaizu horman elementu ez ofizialak esekitzeagatik."
